name,url_x,position,born_year,hometown,height,weight,blood_type,throw_side,bat_side,draft_year,draft_round,education,koshien,year,team_x,number,b_game,b_pa,b_ab,b_r,b_h,b_2b,b_3b,b_hr,b_tb,b_rbi,b_k,b_bb,b_ibb,b_hbp,b_sh,b_sf,b_sb,b_cs,b_dp,b_e,b_avg,b_slg,b_obp,b_ops,Unnamed: 0.1,team_y,salary,_merge
太田賢吾,http://www.baseball-lab.jp/player/detail/1400124,内,1997.0,埼玉,186cm,85kg,A型,右,左,2014.0,8位,川越工高─日本ハム─ヤクルト,False,2016,日本ハム,65.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3538,日本ハム,470,both
太田賢吾,http://www.baseball-lab.jp/player/detail/1400124,内,1997.0,埼玉,186cm,85kg,A型,右,左,2014.0,8位,川越工高─日本ハム─ヤクルト,False,2017,日本ハム,65.0,40,88,82,9,14,2,1,1,21,6,21,2,0,0,4,0,0,0,1,2,0.171,0.256,0.19,0.447,4436,日本ハム,490,both
太田賢吾,http://www.baseball-lab.jp/player/detail/1400124,内,1997.0,埼玉,186cm,85kg,A型,右,左,2014.0,8位,川越工高─日本ハム─ヤクルト,False,2018,日本ハム,65.0,54,41,36,6,7,0,2,0,11,5,11,2,0,0,3,0,0,0,1,4,0.194,0.306,0.237,0.542,5233,日本ハム,690,both
中山翔太,http://www.baseball-lab.jp/player/detail/1800034,外,1996.0,大阪,185cm,95kg,A型,右,右,2018.0,2位,履正社高─法大─ヤクルト,True,2019,ヤクルト,8.0,35,100,97,11,28,4,0,5,47,14,25,3,0,0,0,0,0,0,2,0,0.289,0.485,0.31,0.795,5956,ヤクルト,1300,both
吉田大成,http://www.baseball-lab.jp/player/detail/1800040,内,1995.0,千葉,175cm,80kg,B型,右,左,2018.0,8位,佼成学園高─明大─明治安田生命─ヤクルト,False,2019,ヤクルト,66.0,13,39,32,3,6,1,0,0,7,2,8,4,0,2,1,0,1,1,1,0,0.188,0.219,0.316,0.535,6146,ヤクルト,700,both
濱田太貴,http://www.baseball-lab.jp/player/detail/1800036,外,2000.0,福岡,177cm,81kg,A型,右,右,2018.0,4位,明豊高─ヤクルト,True,2019,ヤクルト,51.0,2,5,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6289,ヤクルト,500,both
松本友,http://www.baseball-lab.jp/player/detail/1800042,内,1995.0,福岡,179cm,86kg,O型,右,左,2018.0,（育）2位,東福岡高─明学大─ＢＣリーグ・福井─ヤクルト,False,2019,ヤクルト,117.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6432,ヤクルト,240,both
内山太嗣,http://www.baseball-lab.jp/player/detail/1800041,捕,1996.0,青森,171cm,77kg,AB型,右,右,2018.0,（育）1位,八戸工大一高─トヨタ自動車東日本─ＢＣリーグ・栃木─ヤクルト,False,2019,ヤクルト,118.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6433,ヤクルト,240,both
梶谷隆幸,http://www.baseball-lab.jp/player/detail/700027,外,1988.0,島根,180cm,88kg,A型,右,左,2006.0,（高）3巡目,開星高─横浜─ＤｅＮＡ,True,2014,DeNA,3.0,142,609,525,76,138,26,9,16,230,72,135,70,5,7,3,4,39,8,12,6,0.263,0.438,0.355,0.793,1237,DeNA,2300,both
梶谷隆幸,http://www.baseball-lab.jp/player/detail/700027,外,1988.0,島根,180cm,88kg,A型,右,左,2006.0,（高）3巡目,開星高─横浜─ＤｅＮＡ,True,2015,DeNA,3.0,134,578,520,70,143,35,2,13,221,66,132,54,0,0,2,2,28,13,4,2,0.275,0.425,0.342,0.767,1992,DeNA,4600,both
梶谷隆幸,http://www.baseball-lab.jp/player/detail/700027,外,1988.0,島根,180cm,88kg,A型,右,左,2006.0,（高）3巡目,開星高─横浜─ＤｅＮＡ,True,2016,DeNA,3.0,107,450,396,69,108,20,4,18,190,56,110,49,0,4,1,0,26,7,2,4,0.273,0.48,0.359,0.838,2823,DeNA,8300,both
梶谷隆幸,http://www.baseball-lab.jp/player/detail/700027,外,1988.0,島根,180cm,88kg,A型,右,左,2006.0,（高）3巡目,開星高─横浜─ＤｅＮＡ,True,2017,DeNA,3.0,137,578,511,83,124,27,2,21,218,60,157,62,2,3,0,2,21,3,10,1,0.243,0.427,0.327,0.754,3738,DeNA,9300,both
梶谷隆幸,http://www.baseball-lab.jp/player/detail/700027,外,1988.0,島根,180cm,88kg,A型,右,左,2006.0,（高）3巡目,開星高─横浜─ＤｅＮＡ,True,2018,DeNA,3.0,41,137,127,21,34,8,0,8,66,18,21,8,0,2,0,0,5,2,1,0,0.268,0.52,0.321,0.841,4628,DeNA,12800,both
梶谷隆幸,http://www.baseball-lab.jp/player/detail/700027,外,1988.0,島根,180cm,88kg,A型,右,左,2006.0,（高）3巡目,開星高─横浜─ＤｅＮＡ,True,2019,DeNA,3.0,41,110,93,13,20,5,0,5,40,15,20,16,1,0,1,0,3,0,1,0,0.215,0.43,0.33,0.76,5598,DeNA,9600,both
石川雄洋,http://www.baseball-lab.jp/player/detail/500052,内,1986.0,静岡,183cm,78kg,O型,右,左,2004.0,6巡目,横浜高─横浜─ＤｅＮＡ,True,2014,DeNA,7.0,138,539,483,66,120,16,5,7,167,36,98,32,0,8,16,0,9,3,9,9,0.248,0.346,0.306,0.652,1050,DeNA,6500,both
石川雄洋,http://www.baseball-lab.jp/player/detail/500052,内,1986.0,静岡,183cm,78kg,O型,右,左,2004.0,6巡目,横浜高─横浜─ＤｅＮＡ,True,2015,DeNA,7.0,89,375,343,43,89,8,1,1,102,18,82,16,1,7,9,0,6,3,2,8,0.259,0.297,0.306,0.603,1962,DeNA,6000,both
石川雄洋,http://www.baseball-lab.jp/player/detail/500052,内,1986.0,静岡,183cm,78kg,O型,右,左,2004.0,6巡目,横浜高─横浜─ＤｅＮＡ,True,2016,DeNA,7.0,95,329,297,35,62,8,2,2,80,14,67,18,0,2,11,1,6,4,3,3,0.209,0.269,0.258,0.527,2849,DeNA,7000,both
石川雄洋,http://www.baseball-lab.jp/player/detail/500052,内,1986.0,静岡,183cm,78kg,O型,右,左,2004.0,6巡目,横浜高─横浜─ＤｅＮＡ,True,2017,DeNA,7.0,63,192,167,18,41,7,0,2,54,11,41,12,0,4,6,3,1,1,4,2,0.246,0.323,0.306,0.63,3787,DeNA,6300,both
石川雄洋,http://www.baseball-lab.jp/player/detail/500052,内,1986.0,静岡,183cm,78kg,O型,右,左,2004.0,6巡目,横浜高─横浜─ＤｅＮＡ,True,2018,DeNA,7.0,41,91,74,10,17,1,0,0,18,7,19,11,0,0,4,2,5,3,1,4,0.23,0.243,0.322,0.565,4734,DeNA,5500,both
石川雄洋,http://www.baseball-lab.jp/player/detail/500052,内,1986.0,静岡,183cm,78kg,O型,右,左,2004.0,6巡目,横浜高─横浜─ＤｅＮＡ,True,2019,DeNA,7.0,50,113,101,14,21,3,1,2,32,5,34,5,0,1,6,0,1,3,1,1,0.208,0.317,0.252,0.569,5717,DeNA,4500,both
筒香嘉智,http://www.baseball-lab.jp/player/detail/1000002,外,1991.0,和歌山,185cm,97kg,A型,右,左,2009.0,1位,横浜高─横浜─ＤｅＮＡ,True,2014,DeNA,25.0,114,461,410,58,123,24,2,22,217,77,100,47,6,2,0,2,2,1,7,7,0.3,0.529,0.373,0.902,1328,DeNA,1600,both
筒香嘉智,http://www.baseball-lab.jp/player/detail/1000002,外,1991.0,和歌山,185cm,97kg,A型,右,左,2009.0,1位,横浜高─横浜─ＤｅＮＡ,True,2015,DeNA,25.0,138,568,496,79,157,28,1,24,259,93,98,68,0,2,0,2,0,0,5,0,0.317,0.522,0.4,0.922,1993,DeNA,4600,both
筒香嘉智,http://www.baseball-lab.jp/player/detail/1000002,外,1991.0,和歌山,185cm,97kg,A型,右,左,2009.0,1位,横浜高─横浜─ＤｅＮＡ,True,2016,DeNA,25.0,133,561,469,89,151,28,4,44,319,110,105,87,1,3,0,2,0,1,6,2,0.322,0.68,0.43,1.11,2799,DeNA,10000,both
筒香嘉智,http://www.baseball-lab.jp/player/detail/1000002,外,1991.0,和歌山,185cm,97kg,A型,右,左,2009.0,1位,横浜高─横浜─ＤｅＮＡ,True,2017,DeNA,25.0,139,601,503,85,143,31,0,28,258,94,115,93,3,2,0,3,1,0,7,1,0.284,0.513,0.396,0.909,3647,DeNA,30000,both
筒香嘉智,http://www.baseball-lab.jp/player/detail/1000002,外,1991.0,和歌山,185cm,97kg,A型,右,左,2009.0,1位,横浜高─横浜─ＤｅＮＡ,True,2018,DeNA,25.0,139,580,495,77,146,33,1,38,295,89,107,80,7,2,0,3,0,0,10,3,0.295,0.596,0.393,0.989,4566,DeNA,35000,both
筒香嘉智,http://www.baseball-lab.jp/player/detail/1000002,外,1991.0,和歌山,185cm,97kg,A型,右,左,2009.0,1位,横浜高─横浜─ＤｅＮＡ,True,2019,DeNA,25.0,131,557,464,74,126,24,0,29,237,79,141,88,5,2,0,3,0,0,5,2,0.272,0.511,0.388,0.899,5506,DeNA,40000,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2014,DeNA,9.0,109,374,326,32,86,10,0,2,102,24,78,24,1,5,17,2,1,2,10,9,0.264,0.313,0.322,0.635,1413,DeNA,1200,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2015,DeNA,9.0,63,149,129,8,23,3,0,1,29,7,32,11,0,0,7,2,0,1,2,2,0.178,0.225,0.239,0.464,2115,DeNA,2600,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2016,DeNA,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2998,DeNA,2600,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2017,日本ハム,42.0,19,30,29,1,8,2,0,0,10,1,6,0,0,0,1,0,0,0,0,0,0.276,0.345,0.276,0.621,3980,日本ハム,2000,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2017,日本ハム,42.0,19,30,29,1,8,2,0,0,10,1,6,0,0,0,1,0,0,0,0,0,0.276,0.345,0.276,0.621,3981,DeNA,2000,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2018,日本ハム,42.0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4921,日本ハム,1900,both
黒羽根利規,http://www.baseball-lab.jp/player/detail/600009,捕,1987.0,神奈川,179cm,92kg,A型,右,右,2005.0,（高）3巡目,日大藤沢高─横浜─ＤｅＮＡ─日本ハム,False,2019,日本ハム,42.0,4,3,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.333,0.333,5878,日本ハム,1700,both
山崎憲晴,http://www.baseball-lab.jp/player/detail/900051,内,1986.0,静岡,176cm,80kg,O型,右,右,2008.0,3位,埼玉栄高─横浜商大─横浜─ＤｅＮＡ─阪神,False,2014,DeNA,0.0,115,374,309,36,74,9,1,2,91,20,64,19,0,6,38,2,2,2,4,12,0.239,0.294,0.295,0.589,1257,DeNA,2150,both
山崎憲晴,http://www.baseball-lab.jp/player/detail/900051,内,1986.0,静岡,176cm,80kg,O型,右,右,2008.0,3位,埼玉栄高─横浜商大─横浜─ＤｅＮＡ─阪神,False,2015,DeNA,0.0,25,34,29,4,3,1,0,0,4,2,12,3,0,0,2,0,2,0,0,0,0.103,0.138,0.188,0.325,2098,DeNA,2800,both
山崎憲晴,http://www.baseball-lab.jp/player/detail/900051,内,1986.0,静岡,176cm,80kg,O型,右,右,2008.0,3位,埼玉栄高─横浜商大─横浜─ＤｅＮＡ─阪神,False,2016,DeNA,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3045,DeNA,2200,both
山崎憲晴,http://www.baseball-lab.jp/player/detail/900051,内,1986.0,静岡,176cm,80kg,O型,右,右,2008.0,3位,埼玉栄高─横浜商大─横浜─ＤｅＮＡ─阪神,False,2017,DeNA,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4006,DeNA,1700,both
山崎憲晴,http://www.baseball-lab.jp/player/detail/900051,内,1986.0,静岡,176cm,80kg,O型,右,右,2008.0,3位,埼玉栄高─横浜商大─横浜─ＤｅＮＡ─阪神,False,2018,阪神,32.0,32,22,18,3,4,1,0,0,5,2,4,1,0,0,3,0,0,0,0,1,0.222,0.278,0.263,0.541,5103,阪神,1000,both
山崎憲晴,http://www.baseball-lab.jp/player/detail/900051,内,1986.0,静岡,176cm,80kg,O型,右,右,2008.0,3位,埼玉栄高─横浜商大─横浜─ＤｅＮＡ─阪神,False,2019,阪神,32.0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5992,阪神,1200,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2014,DeNA,29.0,101,240,209,24,49,8,1,1,62,11,50,16,0,0,15,0,4,2,4,11,0.234,0.297,0.289,0.586,1350,DeNA,1500,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2015,DeNA,29.0,81,238,204,25,46,9,1,6,75,9,45,11,0,1,22,0,2,4,1,6,0.225,0.368,0.269,0.636,2179,DeNA,1850,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2016,DeNA,6.0,92,214,203,20,42,11,0,6,71,12,32,6,0,3,2,0,0,1,8,5,0.207,0.35,0.241,0.59,3057,DeNA,2000,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2017,DeNA,6.0,34,55,54,5,10,3,0,0,13,4,19,1,0,0,0,0,0,0,0,1,0.185,0.241,0.2,0.441,3979,DeNA,2000,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2018,オリックス,2.0,30,73,67,4,16,5,0,1,24,9,20,3,0,2,0,1,0,0,1,4,0.239,0.358,0.288,0.646,4925,オリックス,1850,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2018,オリックス,2.0,30,73,67,4,16,5,0,1,24,9,20,3,0,2,0,1,0,0,1,4,0.239,0.358,0.288,0.646,4926,DeNA,1850,both
白崎浩之,http://www.baseball-lab.jp/player/detail/1200048,内,1990.0,北海道,184cm,90kg,O型,右,右,2012.0,1位,埼玉栄高─駒大─ＤｅＮＡ─オリックス,False,2019,オリックス,2.0,25,54,49,6,10,0,0,2,16,6,14,5,0,0,0,0,0,0,1,4,0.204,0.327,0.278,0.604,5862,オリックス,1850,both
荒波翔,http://www.baseball-lab.jp/player/detail/1000095,外,1986.0,神奈川,179cm,80kg,A型,右,左,2010.0,3位,横浜高─東海大─トヨタ自動車─横浜─ＤｅＮＡ,True,2014,DeNA,4.0,63,206,188,30,51,8,2,3,72,18,28,13,0,1,4,0,9,1,1,3,0.271,0.383,0.322,0.705,1107,DeNA,4500,both
荒波翔,http://www.baseball-lab.jp/player/detail/1000095,外,1986.0,神奈川,179cm,80kg,A型,右,左,2010.0,3位,横浜高─東海大─トヨタ自動車─横浜─ＤｅＮＡ,True,2015,DeNA,4.0,70,207,188,29,56,15,2,4,87,14,26,16,0,1,1,1,4,3,2,3,0.298,0.463,0.354,0.817,2018,DeNA,4000,both
荒波翔,http://www.baseball-lab.jp/player/detail/1000095,外,1986.0,神奈川,179cm,80kg,A型,右,左,2010.0,3位,横浜高─東海大─トヨタ自動車─横浜─ＤｅＮＡ,True,2016,DeNA,4.0,36,96,87,8,17,2,1,0,21,7,17,7,0,1,1,0,0,1,1,0,0.195,0.241,0.263,0.505,2924,DeNA,4000,both
荒波翔,http://www.baseball-lab.jp/player/detail/1000095,外,1986.0,神奈川,179cm,80kg,A型,右,左,2010.0,3位,横浜高─東海大─トヨタ自動車─横浜─ＤｅＮＡ,True,2017,DeNA,4.0,47,65,62,8,14,5,0,0,19,1,16,2,0,1,0,0,0,0,1,0,0.226,0.306,0.262,0.568,3889,DeNA,3300,both
荒波翔,http://www.baseball-lab.jp/player/detail/1000095,外,1986.0,神奈川,179cm,80kg,A型,右,左,2010.0,3位,横浜高─東海大─トヨタ自動車─横浜─ＤｅＮＡ,True,2018,DeNA,4.0,11,13,11,1,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0.0,0.0,0.154,0.154,4828,DeNA,3000,both
桑原将志,http://www.baseball-lab.jp/player/detail/1100061,外,1993.0,大阪,174cm,78kg,B型,右,右,2011.0,4位,福知山成美高─ＤｅＮＡ,False,2014,DeNA,37.0,53,169,144,15,37,7,2,1,51,13,32,15,0,2,8,0,4,1,5,5,0.257,0.354,0.335,0.69,1634,DeNA,610,both
桑原将志,http://www.baseball-lab.jp/player/detail/1100061,外,1993.0,大阪,174cm,78kg,B型,右,右,2011.0,4位,福知山成美高─ＤｅＮＡ,False,2015,DeNA,37.0,60,116,103,14,19,4,1,1,28,5,26,5,0,0,8,0,1,1,1,1,0.184,0.272,0.222,0.494,2328,DeNA,1100,both
桑原将志,http://www.baseball-lab.jp/player/detail/1100061,外,1993.0,大阪,174cm,78kg,B型,右,右,2011.0,4位,福知山成美高─ＤｅＮＡ,False,2016,DeNA,37.0,133,522,462,80,131,23,2,11,191,49,93,38,0,14,8,0,19,11,5,4,0.284,0.413,0.356,0.769,3169,DeNA,1300,both
桑原将志,http://www.baseball-lab.jp/player/detail/1100061,外,1993.0,大阪,174cm,78kg,B型,右,右,2011.0,4位,福知山成美高─ＤｅＮＡ,False,2017,DeNA,37.0,143,664,598,87,161,38,5,13,248,52,116,45,0,11,10,0,10,11,8,3,0.269,0.415,0.332,0.747,3858,DeNA,4000,both
桑原将志,http://www.baseball-lab.jp/player/detail/1100061,外,1993.0,大阪,174cm,78kg,B型,右,右,2011.0,4位,福知山成美高─ＤｅＮＡ,False,2018,DeNA,1.0,127,421,379,57,99,24,5,9,160,26,71,32,1,3,7,0,17,3,3,1,0.261,0.422,0.324,0.746,4684,DeNA,8500,both
桑原将志,http://www.baseball-lab.jp/player/detail/1100061,外,1993.0,大阪,174cm,78kg,B型,右,右,2011.0,4位,福知山成美高─ＤｅＮＡ,False,2019,DeNA,1.0,72,115,102,14,19,3,1,2,30,7,26,9,0,1,3,0,2,0,0,1,0.186,0.294,0.259,0.553,5620,DeNA,8400,both
多村仁志,http://www.baseball-lab.jp/player/detail/11345,外,1977.0,神奈川,180cm,80kg,B型,右,右,1994.0,4位,横浜高─横浜─ソフトバンク─ＤｅＮＡ,True,2014,DeNA,8.0,73,166,147,11,40,5,1,4,59,23,23,15,1,2,1,1,0,2,4,0,0.272,0.401,0.345,0.747,1091,DeNA,5000,both
多村仁志,http://www.baseball-lab.jp/player/detail/11345,外,1977.0,神奈川,180cm,80kg,B型,右,右,1994.0,4位,横浜高─横浜─ソフトバンク─ＤｅＮＡ,True,2015,DeNA,8.0,4,8,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.143,0.143,0.25,0.393,1991,DeNA,4600,both
多村仁志,http://www.baseball-lab.jp/player/detail/11345,外,1977.0,神奈川,180cm,80kg,B型,右,右,1994.0,4位,横浜高─横浜─ソフトバンク─ＤｅＮＡ,True,2016,中日,215.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3585,中日,300,both
下園辰哉,http://www.baseball-lab.jp/player/detail/700030,外,1984.0,宮崎,179cm,81kg,B型,左,左,2006.0,4巡目,宮崎日大高─九州国際大,False,2014,DeNA,50.0,68,117,101,14,28,4,0,1,35,8,18,14,0,1,1,0,0,0,1,2,0.277,0.347,0.371,0.717,1227,DeNA,2500,both
下園辰哉,http://www.baseball-lab.jp/player/detail/700030,外,1984.0,宮崎,179cm,81kg,B型,左,左,2006.0,4巡目,宮崎日大高─九州国際大,False,2015,DeNA,50.0,53,84,74,8,21,4,0,1,28,8,14,8,0,0,2,0,0,0,2,3,0.284,0.378,0.354,0.732,2143,DeNA,2300,both
下園辰哉,http://www.baseball-lab.jp/player/detail/700030,外,1984.0,宮崎,179cm,81kg,B型,左,左,2006.0,4巡目,宮崎日大高─九州国際大,False,2016,DeNA,50.0,67,85,74,5,20,2,0,1,25,14,13,9,0,1,0,1,0,0,1,0,0.27,0.338,0.353,0.691,3032,DeNA,2300,both
下園辰哉,http://www.baseball-lab.jp/player/detail/700030,外,1984.0,宮崎,179cm,81kg,B型,左,左,2006.0,4巡目,宮崎日大高─九州国際大,False,2017,DeNA,50.0,8,11,10,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0.1,0.1,0.182,0.282,3946,DeNA,2300,both
柳田殖生,http://www.baseball-lab.jp/player/detail/600081,内,1982.0,兵庫,180cm,85kg,A型,右,右,2005.0,5巡目,福知山商高─デュプロ─ＮＯＭＯベースボールクラブ─中日,True,2014,DeNA,36.0,74,101,88,12,24,3,0,4,39,10,20,2,0,5,6,0,0,0,2,4,0.273,0.443,0.326,0.769,1554,DeNA,800,both
柳田殖生,http://www.baseball-lab.jp/player/detail/600081,内,1982.0,兵庫,180cm,85kg,A型,右,右,2005.0,5巡目,福知山商高─デュプロ─ＮＯＭＯベースボールクラブ─中日,True,2015,DeNA,36.0,24,49,43,1,9,2,0,0,11,5,11,1,0,2,3,0,0,0,2,3,0.209,0.256,0.261,0.517,2337,DeNA,1050,both
柳田殖生,http://www.baseball-lab.jp/player/detail/600081,内,1982.0,兵庫,180cm,85kg,A型,右,右,2005.0,5巡目,福知山商高─デュプロ─ＮＯＭＯベースボールクラブ─中日,True,2016,DeNA,36.0,23,24,21,2,1,0,0,0,1,0,6,2,0,0,1,0,0,0,0,0,0.048,0.048,0.13,0.178,3234,DeNA,1100,both
井手正太郎,http://www.baseball-lab.jp/player/detail/12111,外,1983.0,宮崎,179cm,85kg,O型,右,右,2001.0,8巡目,日南学園高─ダイエー─ソフトバンク,True,2014,DeNA,26.0,36,77,73,7,15,3,0,3,27,13,20,3,0,0,0,1,0,0,2,1,0.205,0.37,0.234,0.604,1437,DeNA,1100,both
井手正太郎,http://www.baseball-lab.jp/player/detail/12111,外,1983.0,宮崎,179cm,85kg,O型,右,右,2001.0,8巡目,日南学園高─ダイエー─ソフトバンク,True,2015,DeNA,26.0,40,102,98,8,25,7,0,4,44,13,28,3,0,0,0,1,0,0,0,1,0.255,0.449,0.275,0.723,2321,DeNA,1150,both
井手正太郎,http://www.baseball-lab.jp/player/detail/12111,外,1983.0,宮崎,179cm,85kg,O型,右,右,2001.0,8巡目,日南学園高─ダイエー─ソフトバンク,True,2016,DeNA,26.0,11,29,27,4,7,0,0,1,10,4,5,1,0,0,0,1,0,0,0,0,0.259,0.37,0.276,0.646,3180,DeNA,1250,both
松本啓二朗,http://www.baseball-lab.jp/player/detail/900049,外,1986.0,千葉,182cm,85kg,O型,左,左,2008.0,1位,千葉経大付高─早大,True,2014,DeNA,6.0,34,58,54,8,14,5,0,0,19,5,10,1,0,1,2,0,1,0,1,1,0.259,0.352,0.286,0.638,1365,DeNA,1400,both
松本啓二朗,http://www.baseball-lab.jp/player/detail/900049,外,1986.0,千葉,182cm,85kg,O型,左,左,2008.0,1位,千葉経大付高─早大,True,2015,DeNA,61.0,51,85,73,10,20,5,0,1,28,7,19,7,0,0,3,2,0,1,2,1,0.274,0.384,0.329,0.713,2264,DeNA,1350,both
松本啓二朗,http://www.baseball-lab.jp/player/detail/900049,外,1986.0,千葉,182cm,85kg,O型,左,左,2008.0,1位,千葉経大付高─早大,True,2016,DeNA,61.0,11,14,13,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.154,0.154,0.214,0.368,3141,DeNA,1500,both
松本啓二朗,http://www.baseball-lab.jp/player/detail/900049,外,1986.0,千葉,182cm,85kg,O型,左,左,2008.0,1位,千葉経大付高─早大,True,2017,DeNA,61.0,13,14,12,1,3,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0.25,0.25,0.357,0.607,4088,DeNA,1300,both
中村紀洋,http://www.baseball-lab.jp/player/detail/11089,内,1973.0,大阪,180cm,93kg,O型,右,右,1991.0,4位,大阪・渋谷高─近鉄─オリックス─ドジャース─オリックス─中日─楽天,True,2014,DeNA,99.0,13,56,49,5,12,2,0,0,14,10,10,6,0,0,0,1,0,0,3,2,0.245,0.286,0.321,0.607,1092,DeNA,5000,both
西森将司,http://www.baseball-lab.jp/player/detail/1100068,捕,1987.0,京都,182cm,80kg,A型,右,両,2011.0,（育）2位,北照高─Ｈｏｎｄａ─四国ＩＬｐｌｕｓ・香川─ＤｅＮＡ,False,2014,DeNA,66.0,12,25,22,0,1,0,0,0,1,0,6,0,0,0,3,0,0,0,2,0,0.045,0.045,0.045,0.091,1711,DeNA,500,both
西森将司,http://www.baseball-lab.jp/player/detail/1100068,捕,1987.0,京都,182cm,80kg,A型,右,両,2011.0,（育）2位,北照高─Ｈｏｎｄａ─四国ＩＬｐｌｕｓ・香川─ＤｅＮＡ,False,2015,DeNA,66.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,2528,DeNA,610,both
西森将司,http://www.baseball-lab.jp/player/detail/1100068,捕,1987.0,京都,182cm,80kg,A型,右,両,2011.0,（育）2位,北照高─Ｈｏｎｄａ─四国ＩＬｐｌｕｓ・香川─ＤｅＮＡ,False,2016,DeNA,66.0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,3419,DeNA,610,both
西森将司,http://www.baseball-lab.jp/player/detail/1100068,捕,1987.0,京都,182cm,80kg,A型,右,両,2011.0,（育）2位,北照高─Ｈｏｎｄａ─四国ＩＬｐｌｕｓ・香川─ＤｅＮＡ,False,2017,DeNA,66.0,8,3,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4316,DeNA,610,both
