name,url_x,position,born_year,hometown,height,weight,blood_type,throw_side,bat_side,draft_year,draft_round,education,koshien,year,team_x,number,b_game,b_pa,b_ab,b_r,b_h,b_2b,b_3b,b_hr,b_tb,b_rbi,b_k,b_bb,b_ibb,b_hbp,b_sh,b_sf,b_sb,b_cs,b_dp,b_e,b_avg,b_slg,b_obp,b_ops,Unnamed: 0.1,team_y,salary,_merge
阿部慎之助,http://www.baseball-lab.jp/player/detail/12049,捕,1979.0,千葉,180cm,97kg,A型,右,左,2000.0,1位,安田学園高─中大─巨人,False,2017,巨人,10.0,129,512,455,41,119,13,0,15,177,76,67,41,1,8,1,7,0,1,13,5,0.262,0.389,0.329,0.718,3651,巨人,26000,both
阿部慎之助,http://www.baseball-lab.jp/player/detail/12049,捕,1979.0,千葉,180cm,97kg,A型,右,左,2000.0,1位,安田学園高─中大─巨人,False,2018,巨人,10.0,95,223,198,22,49,6,0,11,88,46,55,21,2,2,1,1,0,0,6,1,0.247,0.444,0.324,0.769,4591,巨人,21000,both
阿部慎之助,http://www.baseball-lab.jp/player/detail/12049,捕,1979.0,千葉,180cm,97kg,A型,右,左,2000.0,1位,安田学園高─中大─巨人,False,2019,巨人,10.0,95,192,158,15,47,8,0,7,76,27,23,28,2,4,0,2,0,0,1,2,0.297,0.481,0.411,0.892,5551,巨人,16000,both
長野久義,http://www.baseball-lab.jp/player/detail/900397,外,1984.0,佐賀,180cm,85kg,O型,右,右,2009.0,1位,筑陽学園高─日大─Ｈｏｎｄａ─巨人─広島,False,2014,巨人,7.0,130,523,472,67,140,29,1,13,210,62,75,42,0,3,4,2,8,4,8,3,0.297,0.445,0.356,0.801,959,巨人,18000,both
長野久義,http://www.baseball-lab.jp/player/detail/900397,外,1984.0,佐賀,180cm,85kg,O型,右,右,2009.0,1位,筑陽学園高─日大─Ｈｏｎｄａ─巨人─広島,False,2015,巨人,7.0,130,479,434,49,109,20,3,15,180,52,81,34,0,4,5,2,3,2,12,3,0.251,0.415,0.31,0.725,1841,巨人,20000,both
長野久義,http://www.baseball-lab.jp/player/detail/900397,外,1984.0,佐賀,180cm,85kg,O型,右,右,2009.0,1位,筑陽学園高─日大─Ｈｏｎｄａ─巨人─広島,False,2016,巨人,7.0,143,618,576,58,163,28,4,11,232,42,78,33,0,5,1,3,8,2,7,1,0.283,0.403,0.326,0.729,2756,巨人,17500,both
長野久義,http://www.baseball-lab.jp/player/detail/900397,外,1984.0,佐賀,180cm,85kg,O型,右,右,2009.0,1位,筑陽学園高─日大─Ｈｏｎｄａ─巨人─広島,False,2017,巨人,7.0,134,516,463,52,121,20,3,16,195,46,98,46,2,5,1,1,6,0,17,2,0.261,0.421,0.334,0.755,3663,巨人,22500,both
長野久義,http://www.baseball-lab.jp/player/detail/900397,外,1984.0,佐賀,180cm,85kg,O型,右,右,2009.0,1位,筑陽学園高─日大─Ｈｏｎｄａ─巨人─広島,False,2018,巨人,7.0,116,426,383,49,111,16,0,13,166,52,69,41,4,1,0,1,3,2,5,1,0.29,0.433,0.359,0.793,4603,巨人,19000,both
長野久義,http://www.baseball-lab.jp/player/detail/900397,外,1984.0,佐賀,180cm,85kg,O型,右,右,2009.0,1位,筑陽学園高─日大─Ｈｏｎｄａ─巨人─広島,False,2019,広島,5.0,72,197,180,13,45,7,1,5,69,20,40,15,2,1,0,1,0,2,11,2,0.25,0.383,0.31,0.693,5532,広島,22000,both
橋本到,http://www.baseball-lab.jp/player/detail/900014,外,1990.0,宮城,172cm,78kg,O型,右,左,2008.0,4位,仙台育英高─巨人─楽天,True,2014,巨人,32.0,103,402,351,47,90,14,0,4,116,35,78,32,0,3,14,2,11,2,5,1,0.256,0.33,0.322,0.653,1369,巨人,1400,both
橋本到,http://www.baseball-lab.jp/player/detail/900014,外,1990.0,宮城,172cm,78kg,O型,右,左,2008.0,4位,仙台育英高─巨人─楽天,True,2015,巨人,32.0,68,151,137,19,30,11,1,1,46,10,35,9,0,1,3,1,4,1,1,1,0.219,0.336,0.27,0.606,2101,巨人,2800,both
橋本到,http://www.baseball-lab.jp/player/detail/900014,外,1990.0,宮城,172cm,78kg,O型,右,左,2008.0,4位,仙台育英高─巨人─楽天,True,2016,巨人,32.0,74,259,219,27,51,15,1,2,74,20,45,20,0,0,20,0,7,3,4,1,0.233,0.338,0.297,0.635,3000,巨人,2600,both
橋本到,http://www.baseball-lab.jp/player/detail/900014,外,1990.0,宮城,172cm,78kg,O型,右,左,2008.0,4位,仙台育英高─巨人─楽天,True,2017,巨人,32.0,78,139,120,19,32,7,1,1,44,6,30,11,0,1,6,1,3,2,2,2,0.267,0.367,0.331,0.697,3910,巨人,2900,both
橋本到,http://www.baseball-lab.jp/player/detail/900014,外,1990.0,宮城,172cm,78kg,O型,右,左,2008.0,4位,仙台育英高─巨人─楽天,True,2018,巨人,32.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4835,巨人,2900,both
橋本到,http://www.baseball-lab.jp/player/detail/900014,外,1990.0,宮城,172cm,78kg,O型,右,左,2008.0,4位,仙台育英高─巨人─楽天,True,2019,楽天,49.0,11,10,9,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0.0,0.0,0.1,0.1,5852,楽天,2000,both
井端弘和,http://www.baseball-lab.jp/player/detail/11652,内,1975.0,神奈川,173cm,73kg,B型,右,右,1997.0,5位,堀越高─亜大─中日,True,2014,巨人,2.0,87,187,164,16,42,3,0,3,54,16,24,18,0,0,4,1,0,0,11,1,0.256,0.329,0.328,0.657,1111,巨人,4500,both
井端弘和,http://www.baseball-lab.jp/player/detail/11652,内,1975.0,神奈川,173cm,73kg,B型,右,右,1997.0,5位,堀越高─亜大─中日,True,2015,巨人,2.0,98,321,269,20,63,9,0,1,75,19,36,37,0,3,10,2,3,3,4,5,0.234,0.279,0.331,0.61,1971,巨人,5500,both
高橋由伸,http://www.baseball-lab.jp/player/detail/11635,外,1975.0,千葉,180cm,87kg,O型,右,左,1997.0,1位,桐蔭学園高─慶大,True,2014,巨人,24.0,72,130,112,8,32,4,0,6,54,29,30,14,0,2,0,2,0,0,0,2,0.286,0.482,0.369,0.851,969,巨人,16000,both
高橋由伸,http://www.baseball-lab.jp/player/detail/11635,外,1975.0,千葉,180cm,87kg,O型,右,左,1997.0,1位,桐蔭学園高─慶大,True,2015,巨人,24.0,77,158,133,11,37,5,0,5,57,21,39,20,0,4,0,1,2,0,3,0,0.278,0.429,0.386,0.815,1865,巨人,15000,both
小林誠司,http://www.baseball-lab.jp/player/detail/1300027,捕,1989.0,大阪,178cm,86kg,O型,右,右,2013.0,1位,広陵高─同大─日本生命─巨人,True,2014,巨人,22.0,63,121,110,18,28,7,0,2,41,14,26,4,0,4,3,0,0,0,4,3,0.255,0.373,0.305,0.678,1342,巨人,1500,both
小林誠司,http://www.baseball-lab.jp/player/detail/1300027,捕,1989.0,大阪,178cm,86kg,O型,右,右,2013.0,1位,広陵高─同大─日本生命─巨人,True,2015,巨人,22.0,70,204,177,13,40,6,0,2,52,13,39,19,1,3,5,0,2,0,6,2,0.226,0.294,0.312,0.605,2118,巨人,2500,both
小林誠司,http://www.baseball-lab.jp/player/detail/1300027,捕,1989.0,大阪,178cm,86kg,O型,右,右,2013.0,1位,広陵高─同大─日本生命─巨人,True,2016,巨人,22.0,129,458,398,27,81,12,1,4,107,35,76,36,5,4,19,1,2,1,10,6,0.204,0.269,0.276,0.544,2995,巨人,2600,both
小林誠司,http://www.baseball-lab.jp/player/detail/1300027,捕,1989.0,大阪,178cm,86kg,O型,右,右,2013.0,1位,広陵高─同大─日本生命─巨人,True,2017,巨人,22.0,138,443,378,25,78,11,1,2,97,27,64,41,4,2,19,3,2,0,12,5,0.206,0.257,0.285,0.542,3814,巨人,5000,both
